,namespace,user_id,id
60,auxiliadorarj,anitaauxiliadora,260740
61,boaviagem,RaquelCarvalho,29795
62,cermac,Raquelibanez,29808
63,colegiopadremororo,Regia,29899
64,ufrpe,Reginaldo,29908
65,escolaimpacto,Rejainea,29921
66,renanbrito,RenanLima,29932
67,qescola,RenanLima,29933
68,renan,RenanLima,29934
69,iabcd,Renata,29948
70,near,Renatab,29967
71,colegiointegral,bartilotti,226662
72,anglocassianoricardo,Ricardo,30016
73,maededeus,Ricardo9,30019
74,educacaocarpediem,Rjgabriel,30057
75,saomiguelbh,Rocha,30106
76,colprogressao,Rodolfo,30111
77,colegioecursoprogressao,cristianefranceschi,234451
78,ouse,RodrigoCesar,30126
79,edithdossantosrj,RodrigoOliveira,30133
80,cursoacre,professorjoaopedro,193675
81,animalnaopercebe,RonWeasley,30161
82,hackiandoaeduc,RonWeasley,30164
83,finalizandabagaca,RonWeasley,30165
84,ultimavezeuespero,RonWeasley,30166
85,umnomequalquer,RonWeasley,30168
86,escolaimpacto,Ronnay10,30185
87,campossalles,Rosiclersousa,30232
88,evolucao,Rosinha,30245
89,cci,RozaneRibeiro,30258
90,escolaimpacto,RuLinguaPortuguesa,30263
91,colegioideal,SIMARAGAMA,30470
92,campossalles,San2015,30677
93,jesusmariajose,Sandra170471,30693
94,ricaro,SandraCarles,30694
